frequency,recency,monetary,clusters
6,118,6142.320000000001,1
6,47,11881.01,1
6,452,747.0,1
6,11,1303.0800000000002,1
6,111,4998.6,1
6,410,2792.52,1
6,112,6035.04,1
6,552,1027.8,1
6,84,1067.4499999999998,1
6,103,2491.92,1
6,142,1649.88,1
6,163,2815.2,1
6,483,5061.96,1
6,116,1886.0399999999997,1
6,135,2217.9,1
6,53,817.56,1
6,48,1091.52,1
6,118,1072.44,1
6,285,3246.48,1
6,318,925.56,1
6,239,2665.8,1
6,69,1159.9199999999998,1
6,138,3063.6000000000004,1
6,168,1264.68,1
6,266,3469.3600000000006,1
6,31,2213.64,1
6,169,3628.9900000000002,1
6,695,2441.52,1
6,324,903.6,1
6,587,1308.0,1
6,411,548.64,1
6,373,1029.18,1
6,84,4506.4800000000005,1
6,495,1134.36,1
6,78,2964.6,1
6,180,1539.0,1
6,195,4188.6,1
6,35,5988.6,1
6,87,3266.4599999999996,1
6,699,3751.2,1
6,294,1548.0,1
6,180,9859.879999999997,1
6,350,4140.0,1
6,309,490.14,1
6,142,1563.4799999999998,1
6,115,1333.7999999999997,1
6,217,3974.0400000000004,1
6,189,4663.44,1
6,209,1668.6,1
6,231,1176.48,1
6,83,1312.2,1
6,273,803.88,1
6,172,1252.0800000000002,1
6,65,1684.8,1
6,172,7315.919999999999,1
6,597,1016.4,1
6,321,1447.02,1
6,379,1623.24,1
6,85,1218.4299999999998,1
6,284,36489.24,1
6,347,8735.759999999998,1
6,189,7723.8,1
6,28,2836.8,1
6,342,2792.52,1
6,163,876.9599999999999,1
6,235,1317.24,1
6,43,1716.12,1
6,141,4960.8,1
6,209,1587.6,1
6,484,4698.72,1
6,189,3583.2,1
6,68,2136.6,1
6,88,2092.68,1
6,102,6323.04,1
6,127,1735.86,1
6,503,1635.12,1
6,118,1235.52,1
6,131,5525.640000000001,1
6,69,2552.04,1
6,351,2120.4,1
6,50,1569.24,1
6,187,1791.0,1
6,232,7148.879999999999,1
6,84,1003.68,1
6,179,4060.8,1
6,498,11697.12,1
6,291,1415.8799999999999,1
6,195,803.88,1
6,96,6907.050000000001,1
6,105,19174.38,1
6,48,1658.0399999999997,1
6,34,2419.56,1
6,305,5773.859999999999,1
6,497,1426.32,1
6,419,1440.0,1
6,449,6124.679999999999,1
6,322,2433.2400000000002,1
6,70,4595.04,1
6,40,3878.6400000000003,1
6,189,1434.6,1
6,163,1866.6,1
6,218,2612.1600000000003,1
6,183,5289.120000000001,1
6,214,1902.24,1
6,22,1082.67,1
6,85,2905.9200000000005,1
6,49,2613.92,1
6,537,3957.12,1
6,38,1974.9600000000003,1
6,152,3487.5,1
6,441,8530.140000000001,1
6,117,7849.080000000001,1
6,546,2702.52,1
6,436,2078.64,1
6,44,3791.4599999999996,1
6,470,1475.64,1
6,35,5527.44,1
5,147,1203.25,1
5,278,1175.25,1
5,125,1153.25,1
5,208,2423.4,1
5,197,964.5,1
5,502,1339.0,1
5,162,359.75,1
5,235,1581.75,1
5,182,1823.25,1
5,164,863.75,1
5,367,4564.75,1
5,420,732.0,1
5,76,5210.5,1
5,582,1749.75,1
5,314,1939.95,1
5,258,1916.5,1
5,401,1980.5,1
5,592,1112.75,1
5,282,994.5,1
5,381,434.5,1
5,44,9751.0,1
5,108,1577.25,1
5,29,6265.15,1
5,197,3185.55,1
5,399,1947.25,1
5,560,1636.5,1
5,300,4103.75,1
5,183,4207.0,1
5,533,3199.5,1
5,13,1056.75,1
5,207,1581.75,1
5,181,2744.5,1
5,156,1590.25,1
5,281,2455.1499999999996,1
5,113,1082.25,1
5,120,1988.5,1
5,121,1301.0,1
5,308,3112.55,1
5,214,3891.25,1
5,466,1157.25,1
5,157,9759.75,1
5,255,700.05,1
5,137,1975.8500000000001,1
5,469,1057.0,1
5,21,292.25,1
5,140,2324.75,1
5,200,1354.25,1
5,462,5290.5,1
5,297,1995.8000000000002,1
5,346,1288.25,1
5,120,1529.4499999999998,1
5,441,692.0,1
5,366,8299.199999999999,1
5,228,535.25,1
5,171,7628.9,1
5,219,1957.25,1
5,237,4345.5,1
5,215,2446.82,1
5,300,3184.5,1
5,221,2889.6,1
5,361,2769.4,1
5,288,1227.0,1
5,138,1379.0,1
5,7,2486.25,1
5,452,518.75,1
5,56,2413.0,1
5,194,964.5,1
5,235,977.0,1
5,156,1319.5,1
5,149,3284.3599999999997,1
5,355,977.5,1
5,699,811.9499999999999,1
5,35,1449.5,1
5,29,1064.76,1
5,150,940.25,1
5,449,2840.0,1
5,90,758.0,1
5,259,1851.75,1
5,68,2311.5,1
5,112,5121.0,1
5,108,2803.1699999999996,1
5,249,1687.8,1
5,334,2218.0,1
5,298,4875.25,1
5,414,1852.55,1
5,345,3943.0,1
5,133,3371.79,1
5,20,3196.0,1
5,65,3942.0,1
5,516,12834.5,1
5,133,3630.25,1
5,272,3412.5,1
5,106,3480.75,1
5,24,858.75,1
5,38,8780.5,1
5,355,1069.5,1
5,215,719.0,1
5,210,2405.3,1
5,241,1047.5,1
5,41,434.5,1
5,201,1381.0,1
5,379,1112.2,1
5,163,1910.0000000000002,1
5,274,1395.5,1
5,241,1412.25,1
5,194,1602.25,1
5,389,1939.25,1
5,284,1064.75,1
5,190,1342.25,1
5,81,589.02,1
5,496,721.5,1
5,372,1939.25,1
5,272,652.25,1
5,29,8511.75,1
5,42,994.3600000000002,1
5,133,3798.75,1
5,359,1069.5,1
5,130,1090.75,1
5,127,1432.25,1
5,26,1840.2,1
5,186,2070.0,1
