order_hour,product_category_name_english,order_id
1,pet_shop,20
1,signaling_and_security,2
1,small_appliances,5
1,sports_leisure,112
1,stationery,23
1,telephony,77
1,toys,55
1,watches_gifts,90
2,agro_industry_and_commerce,1
2,audio,1
2,auto,25
2,baby,10
2,bed_bath_table,68
2,books_general_interest,2
2,books_imported,1
2,books_technical,1
2,computers,1
2,computers_accessories,25
2,consoles_games,5
2,construction_tools_construction,16
2,construction_tools_safety,1
2,cool_stuff,12
2,costruction_tools_garden,1
2,diapers_and_hygiene,1
2,drinks,1
2,electronics,14
2,fashion_bags_accessories,17
2,fashion_shoes,3
2,fashion_sport,1
2,fashion_underwear_beach,1
2,flowers,1
2,food,8
2,food_drink,5
2,furniture_decor,58
2,furniture_living_room,5
2,garden_tools,19
2,health_beauty,51
2,home_appliances,1
2,home_appliances_2,2
2,home_confort,1
2,home_construction,1
2,housewares,32
2,industry_commerce_and_business,2
2,luggage_accessories,2
2,market_place,1
2,musical_instruments,4
2,office_furniture,8
2,perfumery,21
2,pet_shop,14
2,small_appliances,5
2,sports_leisure,51
2,stationery,12
2,telephony,24
2,toys,18
2,watches_gifts,32
3,art,1
3,audio,1
3,auto,9
3,bed_bath_table,32
3,books_general_interest,2
3,cine_photo,1
3,computers,2
3,computers_accessories,16
3,consoles_games,3
3,construction_tools_construction,1
3,construction_tools_safety,1
3,cool_stuff,7
3,costruction_tools_tools,1
3,diapers_and_hygiene,5
3,electronics,9
3,fashio_female_clothing,2
3,fashion_bags_accessories,12
3,fashion_underwear_beach,1
3,fixed_telephony,1
3,food,1
3,food_drink,3
3,furniture_decor,14
3,garden_tools,11
3,health_beauty,27
3,housewares,16
3,kitchen_dining_laundry_garden_furniture,2
3,luggage_accessories,3
3,market_place,4
3,musical_instruments,2
3,office_furniture,6
3,perfumery,7
3,pet_shop,4
3,signaling_and_security,1
3,small_appliances,4
3,sports_leisure,28
3,stationery,5
3,tablets_printing_image,1
3,telephony,15
3,toys,9
3,watches_gifts,32
4,agro_industry_and_commerce,1
4,art,1
4,audio,2
4,auto,5
4,baby,10
4,bed_bath_table,27
4,computers,1
4,computers_accessories,20
4,consoles_games,4
4,construction_tools_construction,2
4,construction_tools_lights,3
4,cool_stuff,15
4,drinks,1
4,electronics,3
4,fashion_bags_accessories,8
4,fashion_male_clothing,1
4,fashion_shoes,1
4,fashion_underwear_beach,2
4,fixed_telephony,1
4,food,2
4,food_drink,2
4,furniture_decor,24
4,garden_tools,2
4,health_beauty,21
4,home_appliances,2
4,home_confort,2
4,housewares,12
4,luggage_accessories,1
4,market_place,2
4,musical_instruments,3
4,office_furniture,6
4,perfumery,4
4,pet_shop,8
4,small_appliances,6
4,sports_leisure,14
4,stationery,1
4,telephony,12
4,toys,9
4,watches_gifts,8
5,audio,4
5,auto,8
5,baby,11
5,bed_bath_table,27
5,books_general_interest,3
5,books_technical,1
5,christmas_supplies,1
5,computers_accessories,8
5,consoles_games,3
5,construction_tools_construction,1
5,cool_stuff,8
5,diapers_and_hygiene,1
5,electronics,4
5,fashion_bags_accessories,4
5,food_drink,5
5,furniture_decor,16
5,furniture_living_room,2
5,garden_tools,10
5,health_beauty,21
5,home_confort,1
5,home_construction,1
5,housewares,8
5,luggage_accessories,3
5,market_place,1
5,musical_instruments,1
5,office_furniture,2
5,perfumery,2
5,pet_shop,3
5,sports_leisure,16
5,stationery,4
5,telephony,8
5,toys,7
5,watches_gifts,13
6,agro_industry_and_commerce,1
6,air_conditioning,1
6,art,2
6,arts_and_craftmanship,1
6,audio,3
6,auto,20
6,baby,17
6,bed_bath_table,42
6,books_general_interest,1
6,computers_accessories,31
6,consoles_games,5
6,construction_tools_construction,10
6,construction_tools_lights,2
6,construction_tools_safety,2
6,cool_stuff,18
6,costruction_tools_garden,1
6,costruction_tools_tools,1
6,drinks,2
6,dvds_blu_ray,1
6,electronics,10
6,fashio_female_clothing,1
6,fashion_bags_accessories,11
6,fashion_male_clothing,2
6,fixed_telephony,1
6,food,8
6,food_drink,1
6,furniture_decor,28
6,furniture_living_room,2
6,garden_tools,22
6,health_beauty,46
6,home_appliances,7
6,home_appliances_2,1
6,home_confort,2
6,home_construction,2
6,housewares,26
6,industry_commerce_and_business,1
6,luggage_accessories,6
6,market_place,1
6,music,1
6,musical_instruments,2
6,office_furniture,4
6,perfumery,27
6,pet_shop,6
6,sports_leisure,53
6,stationery,12
6,telephony,24
6,toys,23
6,watches_gifts,46
7,agro_industry_and_commerce,3
7,air_conditioning,2
7,art,1
7,audio,3
7,auto,51
7,baby,35
7,bed_bath_table,116
7,books_general_interest,6
7,books_technical,1
7,christmas_supplies,2
7,computers_accessories,65
